"Title","SubTitle"
"Phase S11",""
"Parameter Name","Setting"
"Resolution:","551"
"CAL:","On, FlexCal"
"Dither: ","OFF"
"IFBW:","N/A"
"Smoothing %: ","OFF"
"Date:","Friday, May 12, 2017"
"Time:","2:47:28 PM"
"Model:","MS2024A"
"Serial:","847019"
"Prop.Vel:","1.000"
"Marker Data"
"Marker","Frequency(MHz)","Value"
"Limit Off"
"Point Data"
"Frequency(MHz)","Phase S11"
"50","-15.4668418959696"
"50.363637","-15.5936566168555"
"50.727273","-15.7084057980956"
"51.09091","-15.826503724166"
"51.454546","-15.9454670634183"
"51.818182","-16.0501340395282"
"52.181819","-16.1704530862664"
"52.545455","-16.287707321633"
"52.909091","-16.4039909637085"
"53.272728","-16.5233693232206"
"53.636364","-16.6480614848659"
"54","-16.7686154526833"
"54.363637","-16.8771944120175"
"54.727273","-16.9947179178641"
"55.09091","-17.0985707920356"
"55.454546","-17.2144603375705"
"55.818182","-17.3389171909822"
"56.181819","-17.4558721531974"
"56.545455","-17.5749955135463"
"56.909091","-17.6994027911264"
"57.272728","-17.8166662958837"
"57.636364","-17.9396124873122"
"58","-18.0569327821335"
"58.363637","-18.1854453021367"
"58.727273","-18.2906484627805"
"59.09091","-18.4106463422995"
"59.454546","-18.5265248551643"
"59.818182","-18.6459936906902"
"60.181819","-18.753155508972"
"60.545455","-18.868354624306"
"60.909091","-18.9897157046614"
"61.272728","-19.0970358463939"
"61.636364","-19.2215136509509"
"62","-19.3406198598752"
"62.363637","-19.4582627957195"
"62.727273","-19.575378512129"
"63.09091","-19.6887680742281"
"63.454546","-19.8080380168887"
"63.818182","-19.9311731494724"
"64.181819","-20.0444684048999"
"64.545455","-20.1694976824063"
"64.909091","-20.3053028929397"
"65.272728","-20.3993782954133"
"65.636364","-20.5173054757852"
"66","-20.6415084225111"
"66.363637","-20.7669907960026"
"66.727273","-20.890488184555"
"67.09091","-21.004195210126"
"67.454546","-21.1469773114454"
"67.818182","-21.265631584961"
"68.181819","-21.3798878800001"
"68.545455","-21.5087538860745"
"68.909091","-21.6338132680951"
"69.272728","-21.7471505657005"
"69.636364","-21.866353073454"
"70","-21.9808934358945"
"70.363637","-22.102445486181"
"70.727273","-22.2141438542964"
"71.09091","-22.3422364242538"
"71.454546","-22.4537314688734"
"71.818182","-22.5783077935256"
"72.181819","-22.705397699576"
"72.545455","-22.8194559524953"
"72.909091","-22.944854918449"
"73.272728","-23.0717086549724"
"73.636364","-23.1970612954217"
"74","-23.3169141658801"
"74.363637","-23.445785353494"
"74.727273","-23.5703272055865"
"75.09091","-23.6792707950671"
"75.454546","-23.8110911292107"
"75.818182","-23.9227638462665"
"76.181819","-24.0518368658385"
"76.545455","-24.1683888678945"
"76.909091","-24.3029235614552"
"77.272728","-24.4024368609155"
"77.636364","-24.5361030564009"
"78","-24.622915793379"
"78.363637","-24.7550600020938"
"78.727273","-24.8790748476943"
"79.09091","-25.021380629899"
"79.454546","-25.1320680824647"
"79.818182","-25.266655125189"
"80.181819","-25.3810416887989"
"80.545455","-25.4927341140371"
"80.909091","-25.6327962604229"
"81.272728","-25.7451678830875"
"81.636364","-25.8781644490056"
"82","-25.9933252832948"
"82.363637","-26.1172199832666"
"82.727273","-26.2251403979474"
"83.09091","-26.3700516761803"
"83.454546","-26.4727710106964"
"83.818182","-26.6002348567114"
"84.181819","-26.7244700483279"
"84.545455","-26.8379759415133"
"84.909091","-26.9449965959321"
"85.272728","-27.0598219748203"
"85.636364","-27.1845540857693"
"86","-27.2931322266398"
"86.363637","-27.4070412600241"
"86.727273","-27.5168604742206"
"87.09091","-27.6370767180082"
"87.454546","-27.7645723144357"
"87.818182","-27.8878000136154"
"88.181819","-27.9917073906971"
"88.545455","-28.1139080651933"
"88.909091","-28.2446600626217"
"89.272728","-28.3463903931252"
"89.636364","-28.4662205224252"
"90","-28.587441657581"
"90.363637","-28.7117467409526"
"90.727273","-28.8263838589003"
"91.09091","-28.9363589586706"
"91.454546","-29.0594887980979"
"91.818182","-29.1761364506769"
"92.181819","-29.3158601026377"
"92.545455","-29.4317562564158"
"92.909091","-29.5366558521278"
"93.272728","-29.6535674611638"
"93.636364","-29.7751539684961"
"94","-29.8965205558778"
"94.363637","-30.0213572396706"
"94.727273","-30.1361869406877"
"95.09091","-30.2450044625267"
"95.454546","-30.3481804419855"
"95.818182","-30.4731348303741"
"96.181819","-30.5796842945699"
"96.545455","-30.7026362356119"
"96.909091","-30.8165061014856"
"97.272728","-30.9386748944287"
"97.636364","-31.0571761821205"
"98","-31.1849071898783"
"98.363637","-31.3034047883118"
"98.727273","-31.4173837469808"
"99.09091","-31.5423097108474"
"99.454546","-31.656788450162"
"99.818182","-31.7870506974011"
"100.181819","-31.8945323317722"
"100.545455","-32.0310778785697"
"100.909091","-32.1573900401313"
"101.272728","-32.2861146673885"
"101.636364","-32.4026450794253"
"102","-32.5290378091043"
"102.363637","-32.6451012403223"
"102.727273","-32.777555260798"
"103.09091","-32.9072217935621"
"103.454546","-33.030803642376"
"103.818182","-33.166141919406"
"104.181819","-33.2700192855893"
"104.545455","-33.407026263159"
"104.909091","-33.5319429280298"
"105.272728","-33.657452096537"
"105.636364","-33.7787668906503"
"106","-33.9043261357692"
"106.363637","-34.0241050485439"
"106.727273","-34.1492254917417"
"107.09091","-34.2703715460952"
"107.454546","-34.3910462563319"
"107.818182","-34.5084455584281"
"108.181819","-34.6186354028068"
"108.545455","-34.7498714040789"
"108.909091","-34.8617714127954"
"109.272728","-34.94623968406"
"109.636364","-35.0836022003094"
"110","-35.2092312870967"
"110.363637","-35.3316749041797"
"110.727273","-35.4532299677794"
"111.09091","-35.5647177546007"
"111.454546","-35.6822257896956"
"111.818182","-35.7960088486134"
"112.181819","-35.9523402076331"
"112.545455","-36.0408163715933"
"112.909091","-36.1692807900081"
"113.272728","-36.2912956901482"
"113.636364","-36.4293516647544"
"114","-36.5514268114137"
"114.363637","-36.6764555593748"
"114.727273","-36.8052865622916"
"115.09091","-36.9064041300926"
"115.454546","-37.0473006373645"
"115.818182","-37.1664086772878"
"116.181819","-37.2878174504713"
"116.545455","-37.4201575072559"
"116.909091","-37.5275166317373"
"117.272728","-37.6869863889156"
"117.636364","-37.7860054437567"
"118","-37.9237978064137"
"118.363637","-38.0207734789284"
"118.727273","-38.1606690045215"
"119.09091","-38.2680687474096"
"119.454546","-38.3864524464458"
"119.818182","-38.5204663324666"
"120.181819","-38.6428569793928"
"120.545455","-38.7492338033478"
"120.909091","-38.8752467495242"
"121.272728","-38.9870088702792"
"121.636364","-39.1132763270446"
"122","-39.2361496457136"
"122.363637","-39.3588376198501"
"122.727273","-39.4699724401283"
"123.09091","-39.5932729550922"
"123.454546","-39.7136553965005"
"123.818182","-39.8322844799062"
"124.181819","-39.9588647049023"
"124.545455","-40.0822746338148"
"124.909091","-40.1926032890043"
"125.272728","-40.3189290504146"
"125.636364","-40.4482448869015"
"126","-40.572900026553"
"126.363637","-40.697581960306"
"126.727273","-40.8257076147632"
"127.09091","-40.9528032799147"
"127.454546","-41.0694395763712"
"127.818182","-41.1968550195014"
"128.181819","-41.3182410383318"
"128.545455","-41.4498611587362"
"128.909091","-41.5717191216166"
"129.272728","-41.7032097037451"
"129.636364","-41.8378489120814"
"130","-41.9490042748171"
"130.363637","-42.0908639699081"
"130.727273","-42.1974102095589"
"131.09091","-42.3246642351337"
"131.454546","-42.4423810648127"
"131.818182","-42.5652142607019"
"132.181819","-42.7142478762349"
"132.545455","-42.8201766941193"
"132.909091","-42.9468441116117"
"133.272728","-43.0682232816456"
"133.636364","-43.1892837941908"
"134","-43.2945216009605"
"134.363637","-43.4086758221959"
"134.727273","-43.5319623188997"
"135.09091","-43.6599207479156"
"135.454546","-43.7755015794135"
"135.818182","-43.8893044445363"
"136.181819","-44.0171756730753"
"136.545455","-44.1502977779822"
"136.909091","-44.2591137562346"
"137.272728","-44.3630502754247"
"137.636364","-44.4841679535885"
"138","-44.5893597801937"
"138.363637","-44.7138943007363"
"138.727273","-44.8335849738835"
"139.09091","-44.9746122688273"
"139.454546","-45.086153102031"
"139.818182","-45.1974946073914"
"140.181819","-45.3375963520708"
"140.545455","-45.4467391140851"
"140.909091","-45.5623273805879"
"141.272728","-45.6792196521646"
"141.636364","-45.8082122643063"
"142","-45.9319819035144"
"142.363637","-46.0509737002014"
"142.727273","-46.1768805975271"
"143.09091","-46.2958423078278"
"143.454546","-46.4116345768497"
"143.818182","-46.5114777491572"
"144.181819","-46.6244095025494"
"144.545455","-46.737930669945"
"144.909091","-46.8685375216763"
"145.272728","-46.9736321249628"
"145.636364","-47.0766655576471"
"146","-47.1923870013803"
"146.363637","-47.3025899161372"
"146.727273","-47.4074442467229"
"147.09091","-47.5224784493144"
"147.454546","-47.6289756608459"
"147.818182","-47.7447826098446"
"148.181819","-47.8530477037277"
"148.545455","-47.9634579081667"
"148.909091","-48.0757444083385"
"149.272728","-48.1845083628705"
"149.636364","-48.2918348302176"
