"Title","SubTitle"
"Phase S11",""
"Parameter Name","Setting"
"Resolution:","551"
"CAL:","On, FlexCal"
"Dither: ","OFF"
"IFBW:","N/A"
"Smoothing %: ","OFF"
"Date:","Friday, May 12, 2017"
"Time:","1:58:33 PM"
"Model:","MS2024A"
"Serial:","847019"
"Prop.Vel:","1.000"
"Marker Data"
"Marker","Frequency(MHz)","Value"
"Limit Off"
"Point Data"
"Frequency(MHz)","Phase S11"
"50","-12.4976393522718"
"50.363637","-12.6977515295481"
"50.727273","-12.8896020379969"
"51.09091","-13.0757922343071"
"51.454546","-13.2723735014588"
"51.818182","-13.4619340663044"
"52.181819","-13.6453453068097"
"52.545455","-13.8332426951062"
"52.909091","-14.025220166917"
"53.272728","-14.2175694745119"
"53.636364","-14.402395584916"
"54","-14.6006750500879"
"54.363637","-14.7888322493586"
"54.727273","-14.9733847706971"
"55.09091","-15.1598712692953"
"55.454546","-15.3393379377429"
"55.818182","-15.5273149406783"
"56.181819","-15.7122064612414"
"56.545455","-15.8931067394576"
"56.909091","-16.094820006641"
"57.272728","-16.2871665871036"
"57.636364","-16.4766321460455"
"58","-16.6636966057075"
"58.363637","-16.8497338647824"
"58.727273","-17.0223631723751"
"59.09091","-17.1888739708525"
"59.454546","-17.3886564101318"
"59.818182","-17.5629082315222"
"60.181819","-17.7399152281872"
"60.545455","-17.9176681729617"
"60.909091","-18.1037452309607"
"61.272728","-18.2869706477364"
"61.636364","-18.4760653384701"
"62","-18.6427962862129"
"62.363637","-18.8235879415791"
"62.727273","-19.0050159660923"
"63.09091","-19.1738736363158"
"63.454546","-19.358397560149"
"63.818182","-19.535803029007"
"64.181819","-19.7198507605915"
"64.545455","-19.8981538093096"
"64.909091","-20.0875992414408"
"65.272728","-20.2512218105039"
"65.636364","-20.4297235994285"
"66","-20.6062449632401"
"66.363637","-20.7854166620525"
"66.727273","-20.9657144452863"
"67.09091","-21.1446304430762"
"67.454546","-21.3269435442635"
"67.818182","-21.509816725662"
"68.181819","-21.6847946295245"
"68.545455","-21.859266407323"
"68.909091","-22.0466805548761"
"69.272728","-22.2222930702408"
"69.636364","-22.3928007826159"
"70","-22.5690211300314"
"70.363637","-22.7453601032276"
"70.727273","-22.9139737774266"
"71.09091","-23.093465461648"
"71.454546","-23.2620169727522"
"71.818182","-23.4392530808927"
"72.181819","-23.6131364460298"
"72.545455","-23.7874200455067"
"72.909091","-23.9662673123478"
"73.272728","-24.1418869301363"
"73.636364","-24.3093297958017"
"74","-24.4925412831791"
"74.363637","-24.6698625294926"
"74.727273","-24.8438316284164"
"75.09091","-25.0090224900692"
"75.454546","-25.1902288955356"
"75.818182","-25.3686669516804"
"76.181819","-25.5365257992031"
"76.545455","-25.7101026030665"
"76.909091","-25.891525257893"
"77.272728","-26.0444657653992"
"77.636364","-26.2246506593651"
"78","-26.3720842376574"
"78.363637","-26.5413811489773"
"78.727273","-26.7192163733044"
"79.09091","-26.9144858320593"
"79.454546","-27.0748129334459"
"79.818182","-27.2571429052076"
"80.181819","-27.4108580953103"
"80.545455","-27.5877817633825"
"80.909091","-27.7724030996782"
"81.272728","-27.9307292985814"
"81.636364","-28.1200864407293"
"82","-28.2798742983891"
"82.363637","-28.441688590531"
"82.727273","-28.6077117001117"
"83.09091","-28.7666312986466"
"83.454546","-28.9419015393291"
"83.818182","-29.1148117580232"
"84.181819","-29.2818232400623"
"84.545455","-29.4456593564582"
"84.909091","-29.5982120274059"
"85.272728","-29.7601935099652"
"85.636364","-29.9384166172597"
"86","-30.0975128187525"
"86.363637","-30.2513189341507"
"86.727273","-30.4287244502008"
"87.09091","-30.5955586271993"
"87.454546","-30.7561248148742"
"87.818182","-30.921095933835"
"88.181819","-31.0848689302835"
"88.545455","-31.2612026469415"
"88.909091","-31.4241022248233"
"89.272728","-31.5859000548478"
"89.636364","-31.7556357902008"
"90","-31.9186874443211"
"90.363637","-32.0812089836751"
"90.727273","-32.2529434034465"
"91.09091","-32.4066754601329"
"91.454546","-32.5769758852213"
"91.818182","-32.7294382770532"
"92.181819","-32.90036693729"
"92.545455","-33.0545056546259"
"92.909091","-33.1995858992815"
"93.272728","-33.37187140411"
"93.636364","-33.5267300232954"
"94","-33.7001935498852"
"94.363637","-33.8677143322993"
"94.727273","-34.0286342484402"
"95.09091","-34.1841323653116"
"95.454546","-34.3341559827716"
"95.818182","-34.5080342137538"
"96.181819","-34.6591817431168"
"96.545455","-34.8192848076273"
"96.909091","-34.9825012012885"
"97.272728","-35.1561780666059"
"97.636364","-35.3174147046942"
"98","-35.4831683085504"
"98.363637","-35.6509973672694"
"98.727273","-35.809483840672"
"99.09091","-35.9845276430864"
"99.454546","-36.1373607133583"
"99.818182","-36.3117488015133"
"100.181819","-36.475051160106"
"100.545455","-36.642207727164"
"100.909091","-36.8139988251796"
"101.272728","-36.9923140557894"
"101.636364","-37.1519459314599"
"102","-37.3222073144365"
"102.363637","-37.4938971255085"
"102.727273","-37.6640749680876"
"103.09091","-37.8336335288698"
"103.454546","-38.0110484171042"
"103.818182","-38.1897351852112"
"104.181819","-38.3517339976161"
"104.545455","-38.5304998715758"
"104.909091","-38.6890835722247"
"105.272728","-38.8691558562904"
"105.636364","-39.0319466181279"
"106","-39.2014394644648"
"106.363637","-39.3722144502485"
"106.727273","-39.5255301445989"
"107.09091","-39.6831984249235"
"107.454546","-39.8417167976733"
"107.818182","-40.000110520514"
"108.181819","-40.1443456151851"
"108.545455","-40.3135773987285"
"108.909091","-40.4803587963108"
"109.272728","-40.6280472016253"
"109.636364","-40.7943461707765"
"110","-40.9633959078356"
"110.363637","-41.1062079098461"
"110.727273","-41.272991537385"
"111.09091","-41.4281338788876"
"111.454546","-41.5873932709215"
"111.818182","-41.760856089807"
"112.181819","-41.9251217873103"
"112.545455","-42.0844200710015"
"112.909091","-42.2528821888588"
"113.272728","-42.423391159963"
"113.636364","-42.5956278204733"
"114","-42.7572992011966"
"114.363637","-42.9286542267271"
"114.727273","-43.096053289432"
"115.09091","-43.255209956571"
"115.454546","-43.4292379082113"
"115.818182","-43.5999643962932"
"116.181819","-43.7622227850096"
"116.545455","-43.9378752817468"
"116.909091","-44.0778173232071"
"117.272728","-44.2727561464859"
"117.636364","-44.4277350891281"
"118","-44.5933489944804"
"118.363637","-44.7427462833551"
"118.727273","-44.9192430056077"
"119.09091","-45.0674324005927"
"119.454546","-45.2325858062517"
"119.818182","-45.3985827149345"
"120.181819","-45.5611449305408"
"120.545455","-45.7086747745948"
"120.909091","-45.874874186898"
"121.272728","-46.0373466608031"
"121.636364","-46.1984539600216"
"122","-46.3641958466546"
"122.363637","-46.5359417350944"
"122.727273","-46.6801627105401"
"123.09091","-46.8448804470683"
"123.454546","-47.0090626376476"
"123.818182","-47.1609683786504"
"124.181819","-47.3443336115215"
"124.545455","-47.5064458089064"
"124.909091","-47.6586088340017"
"125.272728","-47.830143640419"
"125.636364","-48.0033742758183"
"126","-48.177390665033"
"126.363637","-48.3459480591751"
"126.727273","-48.5015207449456"
"127.09091","-48.6701423194086"
"127.454546","-48.8407723303501"
"127.818182","-49.0154281759324"
"128.181819","-49.1839638336507"
"128.545455","-49.353935545837"
"128.909091","-49.5194668301466"
"129.272728","-49.6992530832958"
"129.636364","-49.8633067431493"
"130","-50.0232997829405"
"130.363637","-50.2062808004273"
"130.727273","-50.368092727646"
"131.09091","-50.5354882090495"
"131.454546","-50.6946083215812"
"131.818182","-50.8652086622275"
"132.181819","-51.0330169280559"
"132.545455","-51.1830378612988"
"132.909091","-51.3421965868437"
"133.272728","-51.5192045276553"
"133.636364","-51.6724303021732"
"134","-51.831582581316"
"134.363637","-51.9995949061086"
"134.727273","-52.1618228929296"
"135.09091","-52.3344759474625"
"135.454546","-52.508323037173"
"135.818182","-52.6567687816078"
"136.181819","-52.8239097642245"
"136.545455","-52.9868211374136"
"136.909091","-53.1531780749355"
"137.272728","-53.3195909601169"
"137.636364","-53.4765021253075"
"138","-53.6493538630289"
"138.363637","-53.814589777984"
"138.727273","-53.983567770123"
"139.09091","-54.1678076978531"
"139.454546","-54.3251079052962"
"139.818182","-54.4840255287638"
"140.181819","-54.6575579430352"
"140.545455","-54.8146771166335"
"140.909091","-54.9800351034171"
"141.272728","-55.1423609814393"
"141.636364","-55.3153453799529"
"142","-55.4766366613922"
"142.363637","-55.6452954372411"
"142.727273","-55.8085977944358"
"143.09091","-55.9718889213299"
"143.454546","-56.1505854176323"
"143.818182","-56.301968199236"
"144.181819","-56.4591696092802"
"144.545455","-56.6293082390163"
"144.909091","-56.8010134856392"
"145.272728","-56.956039593853"
"145.636364","-57.0934294410735"
"146","-57.2579884279928"
"146.363637","-57.4196286724551"
"146.727273","-57.5963688578875"
"147.09091","-57.7549227674642"
"147.454546","-57.9105492181929"
"147.818182","-58.0735122580135"
"148.181819","-58.2236928560423"
"148.545455","-58.3825649614542"
"148.909091","-58.5432341896817"
"149.272728","-58.7120411911958"
"149.636364","-58.8725462394391"
