"Title","SubTitle"
"Log Mag S21",""
"Parameter Name","Setting"
"Resolution:","551"
"CAL:","On, FlexCal"
"Dither: ","OFF"
"IFBW:","N/A"
"Smoothing %: ","OFF"
"Date:","Friday, May 12, 2017"
"Time:","2:49:44 PM"
"Model:","MS2024A"
"Serial:","847019"
"Prop.Vel:","1.000"
"Marker Data"
"Marker","Frequency(MHz)","Value"
"Limit Off"
"Point Data"
"Frequency(MHz)","Log Mag S21"
"50","-79.6722012080876"
"50.363637","-78.7308970539984"
"50.727273","-78.3944143789244"
"51.09091","-77.8502376527793"
"51.454546","-77.3423908328239"
"51.818182","-78.0443241934027"
"52.181819","-77.3318054509087"
"52.545455","-77.834118889245"
"52.909091","-77.4172198475697"
"53.272728","-78.9575195300956"
"53.636364","-77.4492055757243"
"54","-77.797611200656"
"54.363637","-76.0435914130388"
"54.727273","-77.3697971689595"
"55.09091","-77.5925112198191"
"55.454546","-77.745614831945"
"55.818182","-77.6333680129659"
"56.181819","-76.7264106561367"
"56.545455","-76.9164905141327"
"56.909091","-76.8520614960209"
"57.272728","-77.3714565458381"
"57.636364","-77.5288635822914"
"58","-77.2069816272538"
"58.363637","-76.7121279964547"
"58.727273","-77.0416910504141"
"59.09091","-76.5266998468305"
"59.454546","-76.968903779429"
"59.818182","-77.1647263513831"
"60.181819","-76.8176966081218"
"60.545455","-77.473168380678"
"60.909091","-76.3143421463967"
"61.272728","-77.0907544061725"
"61.636364","-75.9853052905691"
"62","-76.2296709068964"
"62.363637","-77.0949793854648"
"62.727273","-77.0062346693965"
"63.09091","-76.5339278339387"
"63.454546","-76.4702682099407"
"63.818182","-75.6965077372048"
"64.181819","-74.8353073379622"
"64.545455","-75.8998239179695"
"64.909091","-75.7954914089393"
"65.272728","-75.9815160860448"
"65.636364","-75.1115327452622"
"66","-75.8977969513492"
"66.363637","-75.3506357087827"
"66.727273","-75.9842715432355"
"67.09091","-75.6476101140394"
"67.454546","-75.3162312675038"
"67.818182","-75.6458568378247"
"68.181819","-75.4967389593859"
"68.545455","-75.9213341696922"
"68.909091","-75.1427857351842"
"69.272728","-75.2622116535328"
"69.636364","-75.6727116007678"
"70","-75.1229613683627"
"70.363637","-75.7342368066483"
"70.727273","-75.0340242367629"
"71.09091","-74.982152366115"
"71.454546","-75.8427563823128"
"71.818182","-74.9953024377493"
"72.181819","-74.5997100572058"
"72.545455","-75.6002029477636"
