        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
                  104.22                      -20.158696
                  104.48                      -16.222648
                  104.74                        -11.8257
                     105                      -7.0823254
                  105.26                      -2.1596712
                  105.52                       2.7463718
                  105.78                       7.4453784
                  106.04                       11.782111
                   106.3                       15.651604
                  106.56                       19.000363
                  106.82                       21.817461
                  107.08                       24.123716
                  107.34                       25.960272
                   107.6                       27.378765
                  107.86                        28.43313
                  108.12                        29.17385
                  108.38                       29.645569
                  108.64                       29.886538
                   108.9                       29.929541
                  109.16                       29.803812
                  109.42                       29.535139
                  109.68                       29.146582
                  109.94                       28.657651
                   110.2                       28.084187
                  110.46                       27.438926
                  110.72                       26.732246
                  110.98                       25.973169
                  111.24                       25.170155
                   111.5                        24.33119
                  111.76                       23.463101
                  112.02                       22.571406
                  112.28                       21.660476
                  112.54                        20.73321
                   112.8                       19.792174
                  113.06                       18.839992
                  113.32                        17.87934
                  113.58                       16.912895
                  113.84                       15.942788
                   114.1                       14.970444
                  114.36                       13.996513
                  114.62                        13.02149
                  114.88                       12.045648
                  115.14                       11.069804
                   115.4                       10.094836
                  115.66                       9.1213426
                  115.92                       8.1496524
                  116.18                       7.1797113
                  116.44                       6.2112444
                   116.7                       5.2443086
                  116.96                       4.2791209
                  117.22                       3.3159548
                  117.48                       2.3550838
                  117.74                       1.3961253
                     118                      0.43842349
                  118.26                     -0.51900509
                  118.52                       -1.476707
                  118.78                      -2.4349005
                  119.04                      -3.3933127
                   119.3                      -4.3517792
                  119.56                       -5.310356
                  119.82                      -6.2695871
                  120.08                      -7.2304039
                  120.34                      -8.1937336
                   120.6                      -9.1601781
                  120.86                      -10.129682
                  121.12                      -11.102301
                  121.38                      -12.077817
                  121.64                      -13.056828
                   121.9                      -14.039939
                  122.16                      -15.028186
                  122.42                      -16.022169
                  122.68                      -17.022217
                  122.94                      -18.028224
                   123.2                       -19.03991
                  123.46                      -20.057554
                  123.72                      -21.081645
                  123.98                      -22.112894
                  124.24                      -23.151903
                   124.5                      -24.198833
                  124.76                      -25.253472
                  125.02                      -26.315318
                  125.28                      -27.384104
                  125.54                      -28.459725
                   125.8                        -29.5425
                  126.06                      -30.632273
                  126.32                      -31.728708
                  126.58                      -32.830988
                  126.84                      -33.937918
                   127.1                      -35.048016
                  127.36                      -36.160082
                  127.62                      -37.273236
                  127.88                      -38.385684
                  128.14                      -39.495672
               128.39999                      -40.600631
                  128.66                      -41.697942
                  128.92                      -42.784217
               129.17999                      -43.855791
                  129.44                       -44.90693
                   129.7                      -45.929384
               129.96001                      -46.909868
                  130.22                      -47.830522
                  130.48                      -48.667795
               130.74001                      -49.394966
                     131                      -49.982854
               131.25999                      -50.399823
                  131.52                      -50.611011
                  131.78                      -50.573418
               132.03999                      -50.230432
                   132.3                      -49.504686
                  132.56                      -48.290824
               132.82001                      -46.448801
                  133.08                      -43.800494
                  133.34                      -40.129186
               133.60001                      -35.197461
                  133.86                      -28.800249
                  134.12                       -20.88499
                  134.38                      -11.722975
                  134.64                      -2.0005552
               134.89999                       7.3593718
                  135.16                       15.586034
                  135.42                       22.315136
               135.67999                       27.548481
                  135.94                       31.479559
                   136.2                       34.351185
               136.46001                       36.386366
                  136.72                       37.767591
                  136.98                       38.638141
               137.24001                       39.109152
                   137.5                       39.267339
               137.75999                       39.179801
                  138.02                       38.898782
                  138.28                       38.463945
               138.53999                       37.905616
                   138.8                       37.247844
                  139.06                       36.509801
               139.32001                       35.707879
                  139.58                       34.855967
                  139.84                       33.965309
               140.10001                       33.045148
                  140.36                       32.102088
                  140.62                       31.141381
                  140.88                       30.167285
                  141.14                       29.183957
               141.39999                       28.195167
                  141.66                       27.204568
                  141.92                       26.214682
               142.17999                       25.227258
                  142.44                       24.243326
                   142.7                        23.26366
               142.96001                       22.289129
                  143.22                       21.320662
                  143.48                       20.359682
               143.74001                       19.407005
                     144                        18.46302
               144.25999                       17.527665
                  144.52                       16.600455
                  144.78                        15.68133
               145.03999                       14.770455
                   145.3                        13.86816
                  145.56                       12.974935
               145.82001                       12.090617
                  146.08                       11.215041
                  146.34                       10.347389
               146.60001                        9.487168
                  146.86                       8.6341583
                  147.12                       7.7885269
                  147.38                       6.9504344
                  147.64                       6.1199386
               147.89999                       5.2966548
                  148.16                       4.4798738
                  148.42                       3.6688848
               148.67999                       2.8633594
                  148.94                       2.0632436
                   149.2                       1.2688107
               149.46001                      0.48006029
                  149.72                     -0.30333508
                  149.98                      -1.0818673
               150.24001                      -1.8562468
                   150.5                      -2.6270202
               150.75999                      -3.3941869
                  151.02                      -4.1575289
                  151.28                      -4.9170462
               151.53999                      -5.6727379
                   151.8                      -6.4250425
                  152.06                      -7.1747784
               152.32001                      -7.9223291
                  152.58                      -8.6678575
                  152.84                      -9.4111464
               153.10001                      -10.151976
                  153.36                      -10.890237
                  153.62                      -11.626477
                  153.88                      -12.361023
                  154.14                      -13.094476
               154.39999                         -13.827
                  154.66                      -14.558431
                  154.92                      -15.288333
               155.17999                      -16.016596
                  155.44                      -16.743272
                   155.7                      -17.469021
               155.96001                      -18.194003
                  156.22                      -18.918771
                  156.48                      -19.642769
               156.74001                      -20.365732
                     157                       -21.08722
               157.25999                      -21.807174
                  157.52                      -22.525929
                  157.78                      -23.244026
               158.03999                      -23.961635
                   158.3                      -24.678367
                  158.56                       -25.39379
               158.82001                      -26.107299
                  159.08                       -26.81884
                  159.34                      -27.528523
               159.60001                      -28.236896
                  159.86                      -28.944232
                  160.12                      -29.650417
                  160.38                      -30.354965
                  160.64                      -31.057381
               160.89999                      -31.757559
                  161.16                       -32.45593
                  161.42                      -33.153431
               161.67999                      -33.851038
                  161.94                      -34.549196
                   162.2                      -35.248166
               162.46001                      -35.948345
                  162.72                      -36.650653
                  162.98                      -37.357004
               163.24001                      -38.070074
                   163.5                      -38.793092
               163.75999                      -39.529384
                  164.02                      -40.282014
                  164.28                      -41.054921
               164.53999                      -41.853291
                   164.8                      -42.683838
                  165.06                      -43.555643
               165.32001                      -44.479085
                  165.58                      -45.465582
                  165.84                      -46.527653
               166.10001                      -47.679715
                  166.36                      -48.938761
                  166.62                      -50.326001
                  166.88                      -51.866238
                  167.14                      -53.587934
               167.39999                       -55.52241
                  167.66                      -57.703315
                  167.92                      -60.167813
               168.17999                       -62.95759
                  168.44                      -66.120239
                   168.7                      -69.709861
               168.96001                      -73.787865
                  169.22                      -78.425564
                  169.48                      -83.714097
               169.74001                      -89.787665
                     170                      -96.875161
               170.25999                      -105.41568
                  170.52                      -116.32393
                  170.78                      -131.61421
               171.03999                      -155.42015
                   171.3                       169.14564
                  171.56                       134.15037
               171.82001                       111.18936
                  172.08                       96.900602
                  172.34                       87.148731
               172.60001                       79.883159
                  172.86                       74.124708
                  173.12                       69.364886
                  173.38                       65.314528
                  173.64                        61.79627
               173.89999                       58.693072
                  174.16                       55.923292
                  174.42                       53.426174
               174.67999                       51.154072
                  174.94                       49.069496
                   175.2                       47.142947
               175.46001                       45.351141
                  175.72                       43.676161
                  175.98                       42.102811
               176.24001                        40.61853
                   176.5                       39.211949
               176.75999                       37.872907
                  177.02                       36.592875
                  177.28                       35.365187
               177.53999                       34.184822
                   177.8                       33.047074
                  178.06                       31.948344
               178.32001                       30.884693
                  178.58                       29.852295
                  178.84                       28.847875
               179.10001                       27.868917
                  179.36                       26.913674
                  179.62                       25.980726
                  179.88                       25.068649
                  180.14                       24.175917
               180.39999                       23.300778
                  180.66                       22.441813
                  180.92                       21.597492
               181.17999                       20.767378
                  181.44                       19.950926
                   181.7                       19.147587
               181.96001                       18.356815
                  182.22                       17.577517
                  182.48                       16.808711
               182.74001                        16.04963
                     183                       15.300168
               183.25999                       14.559884
                  183.52                          13.829
                  183.78                       13.106857
               184.03999                       12.392911
                   184.3                       11.686724
                  184.56                       10.987422
               184.82001                       10.294786
                  185.08                       9.6090357
                  185.34                       8.9299504
               185.60001                       8.2575325
                  185.86                       7.5915608
                  186.12                       6.9310549
                  186.38                       6.2757941
                  186.64                       5.6253412
               186.89999                       4.9800248
                  187.16                        4.339517
                  187.42                       3.7042549
               187.67999                       3.0738009
                  187.94                       2.4478278
                   188.2                       1.8257887
               188.46001                       1.2074654
                  188.72                      0.59296695
                  188.98                     -0.01792515
               189.24001                     -0.62499236
                   189.5                      -1.2283439
               189.75999                      -1.8285265
                  190.02                       -2.425758
                  190.28                      -3.0202579
               190.53999                      -3.6119156
                   190.8                      -4.2008422
                  191.06                      -4.7867084
               191.32001                      -5.3698424
                  191.58                      -5.9504636
                  191.84                      -6.5287894
               192.10001                      -7.1051474
                  192.36                      -7.6795403
                  192.62                      -8.2518553
                  192.88                      -8.8218755
