        Frequency / MHz                S1,1 (Mesh Pass=5)/abs,dB
               99.540001                      -6.6693976
               99.800003                      -6.9092154
                  100.06                      -7.1640789
                  100.32                      -7.4350797
                  100.58                      -7.7232415
                  100.84                      -8.0293754
                   101.1                      -8.3540643
                  101.36                      -8.6977517
                  101.62                      -9.0608579
                  101.88                      -9.4437634
                  102.14                      -9.8466071
                   102.4                      -10.268883
                  102.66                      -10.708963
                  102.92                      -11.163662
                  103.18                      -11.627911
                  103.44                       -12.09443
                   103.7                      -12.553292
                  103.96                      -12.991317
                  104.22                      -13.391568
                  104.48                      -13.733568
                  104.74                      -13.995041
                     105                      -14.155462
                  105.26                      -14.200594
                  105.52                      -14.126102
                  105.78                       -13.93844
                  106.04                      -13.652743
                   106.3                      -13.289094
                  106.56                      -12.868871
                  106.82                      -12.412124
                  107.08                      -11.936061
                  107.34                      -11.454367
                   107.6                      -10.977141
                  107.86                       -10.51126
                  108.12                      -10.061049
                  108.38                       -9.629055
                  108.64                      -9.2167174
                   108.9                      -8.8248132
                  109.16                      -8.4536554
                  109.42                      -8.1031431
                  109.68                      -7.7727715
                  109.94                       -7.461713
                   110.2                      -7.1689695
                  110.46                      -6.8935396
                  110.72                      -6.6345317
                  110.98                      -6.3911775
                  111.24                      -6.1627594
                   111.5                      -5.9485248
                  111.76                      -5.7476446
                  112.02                      -5.5592472
                  112.28                      -5.3825012
                  112.54                      -5.2166889
                   112.8                      -5.0612321
                  113.06                      -4.9156458
                  113.32                      -4.7794642
                  113.58                      -4.6521808
                  113.84                       -4.533249
                   114.1                      -4.4221264
                  114.36                      -4.3183352
                  114.62                      -4.2214948
                  114.88                      -4.1313123
                  115.14                      -4.0475249
                   115.4                      -3.9698597
                  115.66                       -3.898014
                  115.92                      -3.8316824
                  116.18                      -3.7706008
                  116.44                       -3.714567
                   116.7                      -3.6634365
                  116.96                      -3.6170717
                  117.22                      -3.5753027
                  117.48                      -3.5379245
                  117.74                      -3.5047222
                     118                      -3.4755284
                  118.26                      -3.4502608
                  118.52                      -3.4289162
                  118.78                      -3.4115176
                  119.04                      -3.3980589
                   119.3                      -3.3884753
                  119.56                      -3.3826509
                  119.82                      -3.3804812
                  120.08                      -3.3819246
                  120.34                      -3.3870268
                   120.6                      -3.3958917
                  120.86                      -3.4086248
                  121.12                       -3.425284
                  121.38                      -3.4458764
                  121.64                      -3.4703899
                   121.9                      -3.4988584
                  122.16                      -3.5313934
                  122.42                      -3.5681766
                  122.68                      -3.6094196
                  122.94                      -3.6553096
                   123.2                      -3.7059852
                  123.46                      -3.7615622
                  123.72                      -3.8221847
                  123.98                       -3.888066
                  124.24                      -3.9595066
                   124.5                       -4.036853
                  124.76                      -4.1204587
                  125.02                      -4.2106439
                  125.28                      -4.3077146
                  125.54                      -4.4119959
                   125.8                      -4.5238864
                  126.06                      -4.6438803
                  126.32                      -4.7725426
                  126.58                      -4.9104792
                  126.84                      -5.0582953
                   127.1                      -5.2166021
                  127.36                      -5.3860571
                  127.62                      -5.5674077
